Date,Ticker,Close_Price,Bank
2021-04-26,TD.TO,68.3,TD Bank
2021-04-27,BMO.TO,95.08,BMO
2021-04-27,CM.TO,50.43,CIBC
2021-04-27,RY.TO,98.26,Royal Bank
2021-04-27,BNS.TO,59.8,Scotiabank
2021-04-27,TD.TO,68.67,TD Bank
2021-04-28,BMO.TO,95.32,BMO
2021-04-28,CM.TO,50.48,CIBC
2021-04-28,RY.TO,98.79,Royal Bank
2021-04-28,BNS.TO,59.84,Scotiabank
2021-04-28,TD.TO,68.75,TD Bank
2021-04-29,BMO.TO,95.44,BMO
2021-04-29,CM.TO,50.62,CIBC
2021-04-29,RY.TO,99.1,Royal Bank
2021-04-29,BNS.TO,59.99,Scotiabank
2021-04-29,TD.TO,69.1,TD Bank
2021-04-30,BMO.TO,95.3,BMO
2021-04-30,CM.TO,50.66,CIBC
2021-04-30,RY.TO,98.43,Royal Bank
2021-04-30,BNS.TO,59.8,Scotiabank
2021-04-30,TD.TO,68.6,TD Bank
2021-05-03,BMO.TO,95.13,BMO
2021-05-03,CM.TO,50.84,CIBC
2021-05-03,RY.TO,99.08,Royal Bank
2021-05-03,BNS.TO,59.93,Scotiabank
2021-05-03,TD.TO,68.31,TD Bank
2021-05-04,BMO.TO,94.89,BMO
2021-05-04,CM.TO,51.0,CIBC
2021-05-04,RY.TO,98.94,Royal Bank
2021-05-04,BNS.TO,59.86,Scotiabank
2021-05-04,TD.TO,68.43,TD Bank
2021-05-05,BMO.TO,95.49,BMO
2021-05-05,CM.TO,51.33,CIBC
2021-05-05,RY.TO,99.88,Royal Bank
2021-05-05,BNS.TO,60.22,Scotiabank
2021-05-05,TD.TO,69.19,TD Bank
2021-05-06,BMO.TO,96.36,BMO
2021-05-06,CM.TO,51.62,CIBC
2021-05-06,RY.TO,100.32,Royal Bank
2021-05-06,BNS.TO,60.55,Scotiabank
2021-05-06,TD.TO,69.74,TD Bank
2021-05-07,BMO.TO,96.8,BMO
2021-05-07,CM.TO,51.82,CIBC
2021-05-07,RY.TO,100.9,Royal Bank
2021-05-07,BNS.TO,60.68,Scotiabank
2021-05-07,TD.TO,69.89,TD Bank
2021-05-10,BMO.TO,96.77,BMO
2021-05-10,CM.TO,51.84,CIBC
2021-05-10,RY.TO,101.0,Royal Bank
2021-05-10,BNS.TO,60.7,Scotiabank
2021-05-10,TD.TO,69.65,TD Bank
2021-05-11,BMO.TO,96.22,BMO
2021-05-11,CM.TO,51.66,CIBC
2021-05-11,RY.TO,100.19,Royal Bank
2021-05-11,BNS.TO,59.98,Scotiabank
2021-05-11,TD.TO,69.45,TD Bank
2021-05-12,BMO.TO,95.69,BMO
2021-05-12,CM.TO,51.49,CIBC
2021-05-12,RY.TO,100.63,Royal Bank
2021-05-12,BNS.TO,59.77,Scotiabank
2021-05-12,TD.TO,69.64,TD Bank
2021-05-13,BMO.TO,98.1,BMO
2021-05-13,CM.TO,52.24,CIBC
2021-05-13,RY.TO,101.64,Royal Bank
2021-05-13,BNS.TO,60.6,Scotiabank
2021-05-13,TD.TO,70.65,TD Bank
2021-05-14,BMO.TO,99.11,BMO
2021-05-14,CM.TO,52.54,CIBC
2021-05-14,RY.TO,102.24,Royal Bank
2021-05-14,BNS.TO,60.93,Scotiabank
2021-05-14,TD.TO,71.22,TD Bank
2021-05-17,BMO.TO,99.82,BMO
